Time,ProdWnow,ConsWnow,ProdWhToday,ConsWhToday,ProdWh7day,ConsWh7day,ProdWhLife,ConsWhLife
Wed Mar 21 00:15:06 2018, 0, 3676, 0, 0, 345707, 344713, 1523659, 2528607
Wed Mar 21 00:30:06 2018, 0, 188, 0, 550, 345707, 344985, 1523659, 2529157
Wed Mar 21 00:45:05 2018, 0, 3664, 0, 842, 345707, 344425, 1523659, 2529449
Wed Mar 21 01:00:06 2018, 0, 3607, 0, 1746, 345707, 342654, 1523659, 2530353
Wed Mar 21 01:15:05 2018, 0, 190, 0, 2474, 345707, 342457, 1523659, 2531081
Wed Mar 21 01:30:06 2018, 0, 3318, 0, 2591, 345707, 341975, 1523659, 2531198
Wed Mar 21 01:45:05 2018, 0, 3638, 0, 3495, 345707, 342575, 1523659, 2532102
Wed Mar 21 02:00:07 2018, 0, 4023, 0, 6072, 345707, 344276, 1523659, 2534679
Wed Mar 21 02:15:05 2018, 0, 280, 0, 6670, 345707, 344008, 1523659, 2535277
Wed Mar 21 02:30:07 2018, 0, 3697, 0, 6913, 345707, 343350, 1523659, 2535520
Wed Mar 21 02:45:05 2018, 0, 3859, 0, 7869, 345707, 343456, 1523659, 2536476
Wed Mar 21 03:00:07 2018, 0, 185, 0, 8449, 345707, 341463, 1523659, 2537056
Wed Mar 21 03:15:06 2018, 0, 3509, 0, 8706, 345707, 341639, 1523659, 2537313
Wed Mar 21 03:30:06 2018, 0, 3725, 0, 9637, 345707, 341774, 1523659, 2538244
Wed Mar 21 03:45:05 2018, 0, 189, 0, 10453, 345707, 341739, 1523659, 2539060
Wed Mar 21 04:00:06 2018, 0, 190, 0, 10528, 345707, 340950, 1523659, 2539135
Wed Mar 21 04:15:05 2018, 0, 3769, 0, 11329, 345707, 340869, 1523659, 2539936
Wed Mar 21 04:30:09 2018, 0, 3763, 0, 13866, 345707, 342548, 1523659, 2542473
Wed Mar 21 04:45:05 2018, 0, 3958, 0, 14826, 345707, 341548, 1523659, 2543433
Wed Mar 21 05:00:08 2018, 0, 381, 0, 14961, 345707, 339987, 1523659, 2543568
Wed Mar 21 05:15:05 2018, 0, 3900, 0, 15669, 345707, 339881, 1523659, 2544276
Wed Mar 21 05:30:06 2018, 0, 3760, 0, 16624, 345707, 340628, 1523659, 2545231
Wed Mar 21 05:45:05 2018, 0, 374, 0, 17053, 345707, 340239, 1523659, 2545660
Wed Mar 21 06:00:06 2018, 0, 3572, 0, 17455, 345707, 339799, 1523659, 2546062
Wed Mar 21 06:15:05 2018, 0, 3582, 0, 18373, 345707, 339871, 1523659, 2546980
Wed Mar 21 06:30:06 2018, 0, 3643, 0, 19267, 345707, 336776, 1523659, 2547874
Wed Mar 21 06:45:05 2018, 0, 12963, 0, 22339, 345707, 337139, 1523659, 2550946
Wed Mar 21 07:00:07 2018, 0, 3829, 0, 23758, 345707, 337620, 1523659, 2552365
Wed Mar 21 07:15:05 2018, 0, 4032, 0, 24746, 345707, 337540, 1523659, 2553353
Wed Mar 21 07:30:06 2018, 0, 1489, 0, 25482, 345707, 337317, 1523659, 2554089
Wed Mar 21 07:45:05 2018, 0, 3593, 0, 25870, 345707, 336784, 1523659, 2554477
Wed Mar 21 08:00:07 2018, 0, 4058, 0, 26842, 345707, 336841, 1523659, 2555449
Wed Mar 21 08:15:05 2018, 0, 3842, 0, 27865, 345703, 336136, 1523659, 2556472
