Date,Time,Temp,dewpt,windspd,winddir,slp,skycover,skcnd,precip1h
20180321, 0001, 2.2, -1.1, 7.2, 340, 1009.3, 0.1, FEW -1, 
20180321, 0101, .6, .0, 6.2, 340, 1010.0, 0.1, FEW -1, 
20180321, 0201, .0, -.6, 4.1, 330, 1010.5, 0.1, FEW -1, 
20180321, 0301, .0, -.6, 2.6, 330, 1010.8, 0.1, FEW -1, 
20180321, 0401, -.6, -1.1, 5.1, 330, -999.9, 0.1, FEW -1, 
20180321, 0501, .0, -1.7, 4.1, 320, 1010.8, 0.1, FEW -1, 
20180321, 0601, .0, -2.8, 4.6, 320, 1010.8, 0.1, FEW 0, 
20180321, 0701, .0, -2.8, 3.6, 320, 1010.7, 0.1, FEW 0, 
20180321, 0801, .0, -2.2, 4.1, 320, 1010.6, 0.1, FEW 0, 
20180321, 0901, .0, -2.2, 4.1, 330, 1010.6, 0.1, FEW 0, 
20180321, 1001, -.6, -2.8, 4.6, 320, 1011.3, 0.1, FEW 0, 
20180321, 1101, -.6, -3.3, 6.2, 330, 1012.1, 0.1, FEW 0, 
20180321, 1201, -1.1, -3.9, 5.1, 340, 1013.0, 0.1, FEW 0, 
20180321, 1301, -1.1, -4.4, 5.1, 330, 1014.2, 0.1, FEW 0, 
20180321, 1401, -1.1, -5.0, 6.2, 340, 1015.1, 0.5, SKT 0, 
20180321, 1501, -.6, -5.0, 5.7, 340, 1015.9, 0.25, FEW 0, 
20180321, 1601, 1.7, -3.9, 7.2, 330, 1016.6, 0, SKC 0, 
20180321, 1701, 3.9, -2.8, 7.7, 340, 1017.2, 0.25, FEW 0, 
20180321, 1801, 5.6, -2.8, 7.2, 320, 1017.7, 0, SKC 0, 
20180321, 1901, 6.7, -3.3, 7.7, 10, 1017.8, 0, SKC 0, 
20180321, 2001, 7.2, -3.9, 6.7, 330, 1018.4, 0, SKC 0, 
20180321, 2101, 7.8, -4.4, 6.2, 320, 1019.0, 0, SKC 0, 
20180321, 2201, 7.8, -4.4, 7.2, 330, 1019.4, 0, SKC 0, 
20180321, 2301, 7.2, -5.0, 5.1, 320, 1020.2, 0, SKC 0, 
20180322, 0001, 6.1, -5.0, 5.1, 320, 1021.1, 0, SKC 0, 
20180322, 0101, 4.4, -5.0, 2.1, 310, 1021.6, 0, SKC 0, 
20180322, 0201, 2.8, -4.4, 2.1, 10, 1022.5, 0, SKC 0, 
20180322, 0301, 2.2, -5.0, 2.6, 20, 1023.4, 0, SKC 0, 
20180322, 0401, .0, -5.6, 2.6, 360, 1024.0, 0, SKC 0, 
20180322, 0501, .0, -6.1, 1.5, 360, 1024.1, 0, SKC 0, 
20180322, 0601, -1.1, -6.1, 1.5, 320, 1024.5, 0, SKC 0, 
20180322, 0701, -2.2, -6.1, 1.5, 280, 1025.2, 0, SKC 0, 
20180322, 0801, -2.2, -6.1, 1.5, 310, 1025.6, 0, SKC 0, 
20180322, 0901, -2.2, -6.7, 2.1, 320, 1025.6, 0, SKC 0, 
20180322, 1001, -2.8, -6.7, 1.5, 340, 1026.0, 0, SKC 0, 
20180322, 1101, -3.9, -7.2, 1.5, 320, 1026.3, 0, SKC 0, 
20180322, 1201, -5.0, -6.7, 1.5, 340, 1027.0, 0, SKC 0, 
20180322, 1301, -1.7, -6.1, 2.6, 320, 1027.8, 0, SKC 0, 
20180322, 1401, .6, -4.4, 1.5, 340, 1028.4, 0, SKC 0, 
20180322, 1501, 3.3, -3.9, 4.1, 330, 1028.7, 0, SKC 0, 
20180322, 1601, 5.0, -4.4, 4.1, 340, 1029.1, 0, SKC 0, 
20180322, 1701, 6.1, -3.9, 5.7, 320, 1028.7, 0, SKC 0, 
20180322, 1801, 7.2, -5.6, 3.6, 310, 1028.3, 0, SKC 0, 
20180322, 1901, 8.3, -5.0, 3.6, 330, 1027.7, 0, SKC 0, 
20180322, 2001, 9.4, -3.3, 4.6, 330, 1026.9, 0, SKC 0, 
20180322, 2101, 9.4, -4.4, 3.6, 330, 1026.5, 0, SKC 0, 
20180322, 2201, 10.0, -3.3, 5.1, 350, 1026.0, 0, SKC 0, 
20180322, 2301, 10.0, -4.4, 2.6, 310, 1025.9, 0, SKC 0, 
20180323, 0001, 7.8, -5.0, .0, 0, 1026.0, 0, SKC 0, 
20180323, 0101, 3.9, -4.4, 1.5, 60, 1026.3, 0.1, FEW 0, 
20180323, 0201, 2.8, -3.3, .0, 0, 1026.5, 0.1, FEW 0, 
20180323, 0301, 1.7, -3.3, .0, 0, 1026.5, 0, SKC 0, 
20180323, 0401, .0, -3.9, .0, 0, 1026.5, 0, SKC 0, 
20180323, 0501, -1.1, -3.9, 1.5, 80, 1026.5, 0, SKC 0, 
20180323, 0601, -2.2, -3.9, 2.6, 50, 1026.4, 0, SKC -9999, 
20180323, 0701, -1.7, -3.3, 1.5, 60, 1026.4, 0.1, FEW -9999, 
20180323, 0801, -.6, -2.8, .0, 0, 1026.3, 0.1, FEW -9999, 
20180323, 0901, .0, -3.3, 1.5, 50, 1026.3, 0.1, FEW -9999, 
20180323, 1001, .0, -2.8, 2.1, 60, 1026.5, 0.1, FEW -9999, 
20180323, 1101, 1.1, -3.3, 3.6, 30, 1026.9, 0.1, FEW -9999, 
20180323, 1201, -.6, -4.4, 3.1, 50, 1027.2, 0.1, FEW -9999, 
20180323, 1301, 1.7, -5.0, 4.1, 80, 1027.6, 0.1, FEW -9999, 
20180323, 1401, 3.3, -5.0, 4.6, 70, 1027.2, 0.1, FEW -9999, 
20180323, 1501, 5.6, -6.7, 5.7, 70, 1027.1, 0.1, FEW -9999, 
20180323, 1601, 7.2, -6.1, 4.1, 70, 1027.2, 0.1, FEW -9999, 
20180323, 1701, 9.4, -6.1, 2.1, -9999, 1026.8, 0, SKC -9999, 
20180323, 1801, 10.0, -5.0, 2.6, 80, 1025.9, 0.1, FEW -9999, 
20180323, 1901, 10.0, -5.6, 1.5, -9999, 1025.4, 0.1, FEW -9999, 
20180323, 2001, 10.6, -5.0, 3.6, 60, 1024.5, 0.1, FEW -9999, 
20180323, 2101, 10.6, -6.1, 2.1, 100, 1024.1, 0.1, FEW -9999, 
20180323, 2201, 10.6, -3.9, 4.6, 80, 1023.8, 0.1, FEW -9999, 
